datetime,temperature,humidity,window_status
2025-09-28 14:52:52,20.40,67.70,closed
2025-09-28 14:52:52,20.40,67.60,closed
2025-09-28 14:52:56,20.30,67.70,closed
2025-09-28 14:52:56,20.30,67.70,closed
2025-09-28 14:53:00,20.40,67.60,closed
2025-09-28 14:53:00,20.30,67.60,closed
2025-09-28 14:53:04,20.30,67.60,closed
2025-09-28 14:53:04,20.30,67.60,closed
2025-09-28 14:53:08,20.30,67.50,closed
2025-09-28 14:53:08,20.30,67.50,closed
2025-09-28 14:53:13,20.40,67.60,closed
2025-09-28 14:53:13,20.30,67.60,closed
2025-09-28 14:53:17,20.30,67.60,closed
2025-09-28 14:53:17,20.30,67.60,closed
2025-09-28 14:53:21,20.30,67.50,closed
2025-09-28 14:53:21,20.30,67.50,closed
2025-09-28 14:53:25,20.30,67.60,closed
2025-09-28 14:53:25,20.40,67.60,closed
2025-09-28 14:53:29,20.30,67.60,closed
2025-09-28 14:53:29,20.40,67.60,closed
2025-09-28 14:53:33,20.30,67.70,closed
2025-09-28 14:53:33,20.30,67.70,closed
2025-09-28 14:53:37,20.30,67.70,closed
2025-09-28 14:53:37,20.30,67.70,closed
2025-09-28 14:53:41,20.30,67.80,closed
2025-09-28 14:53:41,20.30,67.80,closed
2025-09-28 14:53:45,20.30,67.80,closed
2025-09-28 14:53:45,20.30,67.80,closed
2025-09-28 14:53:49,20.40,67.80,closed
2025-09-28 14:53:49,20.30,67.90,closed
2025-09-28 14:53:53,20.30,67.90,closed
2025-09-28 14:53:53,20.30,67.90,closed
2025-09-28 14:53:57,20.30,67.90,closed
2025-09-28 14:53:57,20.40,67.80,closed
2025-09-28 14:54:01,20.30,67.90,closed
2025-09-28 14:54:01,20.40,67.90,closed
2025-09-28 14:54:05,20.40,67.90,closed
2025-09-28 14:54:05,20.30,67.80,closed
2025-09-28 14:54:09,20.40,68.00,closed
2025-09-28 14:54:09,20.30,67.80,closed
2025-09-28 14:54:13,20.30,67.80,closed
2025-09-28 14:54:13,20.30,67.80,closed
2025-09-28 14:54:17,20.40,67.80,closed
2025-09-28 14:54:17,20.30,67.80,closed
2025-09-28 14:54:21,20.30,67.80,closed
2025-09-28 14:54:21,20.40,67.70,closed
2025-09-28 14:54:25,20.30,67.80,closed
2025-09-28 14:54:25,20.30,67.70,closed
2025-09-28 14:54:29,20.30,67.80,closed
2025-09-28 14:54:29,20.40,67.70,closed
2025-09-28 14:54:33,20.40,67.70,closed
2025-09-28 14:54:33,20.30,67.70,closed
2025-09-28 14:54:37,20.30,67.70,closed
2025-09-28 14:54:37,20.30,67.70,closed
2025-09-28 14:54:41,20.30,67.70,closed
2025-09-28 14:54:41,20.30,67.70,closed
2025-09-28 14:54:45,20.30,67.70,closed
2025-09-28 14:54:45,20.30,67.80,closed
2025-09-28 14:54:47,20.30,67.70,closed
2025-09-28 14:54:51,20.30,67.80,closed
2025-09-28 14:54:51,20.40,67.70,closed
2025-09-28 14:54:55,20.40,67.70,closed
2025-09-28 14:54:55,20.30,67.70,closed
2025-09-28 14:54:59,20.30,67.70,closed
2025-09-28 14:54:59,20.30,67.70,closed
2025-09-28 14:55:03,20.30,67.70,closed
2025-09-28 14:55:03,20.30,67.70,closed
2025-09-28 14:55:07,20.40,67.70,closed
2025-09-28 14:55:07,20.30,67.70,closed
2025-09-28 14:55:11,20.30,67.70,closed
2025-09-28 14:55:11,20.30,67.70,closed
2025-09-28 14:55:15,20.40,67.70,closed
2025-09-28 14:55:15,20.30,67.80,closed
2025-09-28 14:55:19,20.40,67.80,closed
2025-09-28 14:55:19,20.40,68.00,closed
2025-09-28 14:55:23,20.40,67.80,closed
2025-09-28 14:55:23,20.30,67.80,closed
2025-09-28 14:55:25,20.30,67.80,closed
2025-09-28 14:55:27,20.30,67.80,closed
2025-09-28 14:55:31,20.30,67.80,closed
2025-09-28 14:55:31,20.30,67.90,closed
2025-09-28 14:55:35,20.40,67.80,closed
2025-09-28 14:55:35,20.30,67.80,closed
2025-09-28 14:55:39,20.30,68.00,closed
2025-09-28 14:55:39,20.30,67.90,closed
2025-09-28 14:55:41,20.40,67.90,closed
2025-09-28 14:55:45,20.30,67.90,closed
2025-09-28 14:55:45,20.40,67.90,closed
2025-09-28 14:55:49,20.30,67.90,closed
2025-09-28 14:55:49,20.30,67.90,closed
2025-09-28 14:55:53,20.30,67.90,closed
2025-09-28 14:55:53,20.40,67.80,closed
2025-09-28 14:55:57,20.30,67.90,closed
2025-09-28 14:55:57,20.30,67.80,closed
2025-09-28 14:56:01,20.30,67.80,closed
2025-09-28 14:56:01,20.30,67.90,closed
2025-09-28 14:56:05,20.30,67.80,closed
2025-09-28 14:56:05,20.40,67.80,closed
2025-09-28 14:56:09,20.30,67.90,closed
2025-09-28 14:56:09,20.30,67.90,closed
2025-09-28 14:56:13,20.30,67.90,closed
2025-09-28 14:56:13,20.30,67.90,closed
2025-09-28 14:56:17,20.30,67.90,closed
2025-09-28 14:56:17,20.40,67.90,closed
2025-09-28 14:56:21,20.30,67.90,closed
2025-09-28 14:56:21,20.40,67.90,closed
2025-09-28 14:56:25,20.30,67.90,closed
2025-09-28 14:56:25,20.30,67.80,closed
2025-09-28 14:56:29,20.40,67.90,closed
2025-09-28 14:56:29,20.30,67.90,closed
2025-09-28 14:56:34,20.30,67.80,closed
2025-09-28 14:56:34,20.40,68.00,closed
2025-09-28 14:56:38,20.40,67.90,closed
2025-09-28 14:56:38,20.40,67.90,closed
2025-09-28 14:56:42,20.30,67.80,closed
2025-09-28 14:56:42,20.40,67.80,closed
2025-09-28 14:56:46,20.30,67.90,closed
2025-09-28 14:56:46,20.40,67.90,closed
2025-09-28 14:56:50,20.30,67.80,closed
2025-09-28 14:56:50,20.30,67.90,closed
2025-09-28 14:56:54,20.30,67.90,closed
2025-09-28 14:56:54,20.40,67.90,closed
2025-09-28 14:56:58,20.40,67.80,closed
2025-09-28 14:56:58,20.30,67.80,closed
2025-09-28 14:57:02,20.40,67.80,closed
2025-09-28 14:57:02,20.30,67.80,closed
2025-09-28 14:57:06,20.30,67.70,closed
2025-09-28 14:57:06,20.30,67.80,closed
2025-09-28 14:57:10,20.40,67.80,closed
2025-09-28 14:57:10,20.40,67.70,closed
2025-09-28 14:57:14,20.40,67.70,closed
2025-09-28 14:57:14,20.30,67.70,closed
2025-09-28 14:57:18,20.40,67.80,closed
2025-09-28 14:57:18,20.40,67.70,closed
2025-09-28 14:57:22,20.40,67.80,closed
2025-09-28 14:57:22,20.40,67.70,closed
2025-09-28 14:57:26,20.40,67.70,closed
2025-09-28 14:57:26,20.30,67.80,closed
2025-09-28 14:57:30,20.40,67.80,closed
2025-09-28 14:57:30,20.30,67.80,closed
2025-09-28 14:57:34,20.40,67.80,closed
2025-09-28 14:57:34,20.30,67.80,closed
2025-09-28 14:57:38,20.30,67.80,closed
2025-09-28 14:57:38,20.30,67.80,closed
2025-09-28 14:57:42,20.30,67.80,closed
2025-09-28 14:57:42,20.40,67.80,closed
2025-09-28 14:57:46,20.30,67.80,closed
2025-09-28 14:57:46,20.40,67.80,closed
2025-09-28 14:57:50,20.30,67.90,closed
2025-09-28 14:57:50,20.30,67.90,closed
2025-09-28 14:57:54,20.30,67.90,closed
2025-09-28 14:57:54,20.30,67.90,closed
2025-09-28 14:57:58,20.30,67.80,closed
2025-09-28 14:57:58,20.30,67.80,closed
2025-09-28 14:58:02,20.30,67.80,closed
2025-09-28 14:58:02,20.30,67.80,closed
2025-09-28 14:58:06,20.40,67.90,closed
2025-09-28 14:58:06,20.30,67.90,closed
2025-09-28 14:58:10,20.40,67.90,closed
2025-09-28 14:58:10,20.40,67.90,closed
2025-09-28 14:58:16,20.40,67.80,closed
2025-09-28 14:58:16,20.30,67.90,closed
2025-09-28 14:58:16,20.30,67.80,closed
2025-09-28 14:58:20,20.30,67.90,closed
2025-09-28 14:58:20,20.40,67.90,closed
2025-09-28 14:58:24,20.30,68.00,closed
2025-09-28 14:58:24,20.30,67.80,closed
2025-09-28 14:58:28,20.40,67.80,closed
2025-09-28 14:58:28,20.40,67.80,closed
2025-09-28 14:58:32,20.30,67.70,closed
2025-09-28 14:58:32,20.30,67.80,closed
2025-09-28 14:58:36,20.30,67.90,closed
2025-09-28 14:58:36,20.40,67.80,closed
2025-09-28 14:58:40,20.40,67.80,closed
2025-09-28 14:58:40,20.30,67.70,closed
2025-09-28 14:58:44,20.40,67.70,closed
2025-09-28 14:58:44,20.40,67.80,closed
2025-09-28 14:58:48,20.40,67.80,closed
2025-09-28 14:58:48,20.30,67.80,closed
2025-09-28 14:58:52,20.40,67.80,closed
2025-09-28 14:58:52,20.30,67.80,closed
2025-09-28 14:58:56,20.40,67.80,closed
2025-09-28 14:58:56,20.40,67.80,closed
2025-09-28 14:59:00,20.30,67.90,closed
2025-09-28 14:59:00,20.40,67.80,closed
2025-09-28 14:59:04,20.40,67.90,closed
2025-09-28 14:59:04,20.40,67.80,closed
2025-09-28 14:59:08,20.40,67.80,closed
2025-09-28 14:59:08,20.40,67.80,closed
2025-09-28 14:59:12,20.40,67.80,closed
2025-09-28 14:59:12,20.40,67.70,closed
2025-09-28 14:59:16,20.40,67.80,closed
2025-09-28 14:59:16,20.40,67.70,closed
2025-09-28 14:59:20,20.30,67.80,closed
2025-09-28 14:59:20,20.40,67.80,closed
2025-09-28 14:59:24,20.40,67.80,closed
2025-09-28 14:59:24,20.40,67.80,closed
2025-09-28 14:59:28,20.40,67.80,closed
2025-09-28 14:59:28,20.40,67.70,closed
2025-09-28 14:59:32,20.40,67.70,closed
2025-09-28 14:59:32,20.40,67.80,closed
2025-09-28 14:59:36,20.40,67.80,closed
2025-09-28 14:59:36,20.40,67.70,closed
2025-09-28 14:59:40,20.40,67.80,closed
2025-09-28 14:59:40,20.40,67.80,closed
2025-09-28 14:59:44,20.40,67.70,closed
2025-09-28 14:59:44,20.40,67.70,closed
2025-09-28 14:59:48,20.40,67.70,closed
2025-09-28 14:59:48,20.40,67.70,closed
2025-09-28 14:59:52,20.40,67.70,closed
2025-09-28 14:59:52,20.40,67.80,closed
2025-09-28 14:59:57,20.40,67.60,closed
2025-09-28 14:59:57,20.30,67.70,closed
2025-09-28 15:00:01,20.40,67.70,closed
2025-09-28 15:00:01,20.40,67.70,closed
2025-09-28 15:00:05,20.40,67.70,closed
2025-09-28 15:00:05,20.40,67.70,closed
2025-09-28 15:00:09,20.40,67.70,closed
2025-09-28 15:00:09,20.40,67.70,closed
2025-09-28 15:00:13,20.40,67.60,closed
2025-09-28 15:00:13,20.40,67.70,closed
2025-09-28 15:00:17,20.40,67.70,closed
2025-09-28 15:00:17,20.30,67.70,closed
2025-09-28 15:00:21,20.40,67.60,closed
2025-09-28 15:00:21,20.40,67.60,closed
2025-09-28 15:00:25,20.40,67.70,closed
2025-09-28 15:00:25,20.40,67.70,closed
2025-09-28 15:00:29,20.40,67.70,closed
2025-09-28 15:00:29,20.40,67.70,closed
2025-09-28 15:00:33,20.40,67.60,closed
2025-09-28 15:00:33,20.40,67.70,closed
2025-09-28 15:00:37,20.40,67.70,closed
2025-09-28 15:00:37,20.40,67.60,closed
2025-09-28 15:00:41,20.40,67.70,closed
2025-09-28 15:00:41,20.40,67.70,closed
2025-09-28 15:00:45,20.40,67.70,closed
